departure,arrival,airplane_number,,,,letter,航线,,,,航班,航线,机场
AKU,XIY,SC8816,,AKUXIY,,SC4251,CTULZY,,,,SC4251,CTULZY,成都双流国际机场-林芝机场
AOG,CAN,CZ6564,,AOGCAN,,TV9832,CTULZY,,,,TV9832,CTULZY,成都双流国际机场-林芝机场
AOG,CTU,3U8140,,AOGCTU,,TV9845,CTULZY,,,,TV9845,CTULZY,成都双流国际机场-林芝机场
AOG,NKG,HO1258,,AOGNKG,,ZH3932,CTULZY,,,,ZH3932,CTULZY,成都双流国际机场-林芝机场
AOG,PEK,CZ6113,,AOGPEK,,CA4251,CTULZY,,,,CA4251,CTULZY,成都双流国际机场-林芝机场
AOG,PVG,FM9198,,AOGPVG,,CA4431,CTULZY,,,,CA4431,CTULZY,成都双流国际机场-林芝机场
AQG,CAN,CZ3320,,AQGCAN,,SC3065,CZXXMN,,,,SC3065,CZXXMN,常州奔牛机场-厦门高崎国际机场
AQG,KMG,8L9960,,AQGKMG,,MF5021,CZXXMN,,,,MF5021,CZXXMN,常州奔牛机场-厦门高崎国际机场
AQG,NGB,8L9959,,AQGNGB,,MU2973,CZXXMN,,,,MU2973,CZXXMN,常州奔牛机场-厦门高崎国际机场
AQG,PEK,HU7681,,AQGPEK,,MU2913,CZXXMN,,,,MU2913,CZXXMN,常州奔牛机场-厦门高崎国际机场
AQG,SHA,MU5540,,AQGSHA,,3U8681,CZXXMN,,,,3U8681,CZXXMN,常州奔牛机场-厦门高崎国际机场
AQG,XIY,GS7634,,AQGXIY,,CZ5311,JJNKMG,,,,CZ5311,JJNKMG,泉州晋江机场-昆明长水国际机场
AQG,XMN,GS7633,,AQGXMN,,TV6005,JJNKMG,,,,TV6005,JJNKMG,泉州晋江机场-昆明长水国际机场
AVA,HAK,GS7601,,AVAHAK,,ZH9209,JJNKMG,,,,ZH9209,JJNKMG,泉州晋江机场-昆明长水国际机场
AVA,HGH,GJ8734,,AVAHGH,,MU8565,JJNKMG,,,,MU8565,JJNKMG,泉州晋江机场-昆明长水国际机场
AVA,HGH,GJ8880,,AVAHGH,,KY9209,JJNKMG,,,,KY9209,JJNKMG,泉州晋江机场-昆明长水国际机场
AVA,JHG,GJ8879,,AVAJHG,,MF8271,JJNKMG,,,,MF8271,JJNKMG,泉州晋江机场-昆明长水国际机场
AVA,LJG,GJ8733,,AVALJG,,MF8409,JJNKMG,,,,MF8409,JJNKMG,泉州晋江机场-昆明长水国际机场
AVA,NAY,KN5226,,AVANAY,,NS8409,JJNKMG,,,,NS8409,JJNKMG,泉州晋江机场-昆明长水国际机场
AVA,NKG,SC4944,,AVANKG,,CA3799,JJNKMG,,,,CA3799,JJNKMG,泉州晋江机场-昆明长水国际机场
AVA,PVG,9C8678,,AVAPVG,,GX8957,ZHALZH,,,,GX8957,ZHALZH,湛江机场-柳州白莲机场
AVA,SZX,DZ6210,,AVASZX,,MU4701,KMGLJG,,,,MU4701,KMGLJG,昆明长水国际机场-丽江三义机场
AVA,TAO,SC4944,,AVATAO,,MU4689,KMGLJG,,,,MU4689,KMGLJG,昆明长水国际机场-丽江三义机场
AXF,EJN,JR1513,,AXFEJN,,MU2249,KMGLJG,,,,MU2249,KMGLJG,昆明长水国际机场-丽江三义机场
AXF,HET,G54360,,AXFHET,,3U8817,KMGLJG,,,,3U8817,KMGLJG,昆明长水国际机场-丽江三义机场
AXF,RHT,JR1617,,AXFRHT,,DR6523,KMGLJG,,,,DR6523,KMGLJG,昆明长水国际机场-丽江三义机场
AXF,XIY,JR1514,,AXFXIY,,MU2719,KMGLJG,,,,MU2719,KMGLJG,昆明长水国际机场-丽江三义机场
BAR,CGO,UQ2593,,BARCGO,,MF3013,KMGLJG,,,,MF3013,KMGLJG,昆明长水国际机场-丽江三义机场
BAV,AXF,JR1609,,BAVAXF,,MU734,KMGLJG,,,,MU734,KMGLJG,昆明长水国际机场-丽江三义机场
BAV,CGO,G52621,,BAVCGO,,MU3383,KMGLJG,,,,MU3383,KMGLJG,昆明长水国际机场-丽江三义机场
BAV,CSX,MF8198,,BAVCSX,,MU5758,KMGLJG,,,,MU5758,KMGLJG,昆明长水国际机场-丽江三义机场
BAV,HAK,HU7206,,BAVHAK,,MU5716,KMGLJG,,,,MU5716,KMGLJG,昆明长水国际机场-丽江三义机场
BAV,HGH,HU7422,,BAVHGH,,CA5731,KMGLJG,,,,CA5731,KMGLJG,昆明长水国际机场-丽江三义机场
BAV,KHN,HU7098,,BAVKHN,,CA5769,KMGLJG,,,,CA5769,KMGLJG,昆明长水国际机场-丽江三义机场
BAV,KHN,HU7206,,BAVKHN,,MU5925,KMGLJG,,,,MU5925,KMGLJG,昆明长水国际机场-丽江三义机场
BAV,NAY,KN2906,,BAVNAY,,MU5927,KMGLJG,,,,MU5927,KMGLJG,昆明长水国际机场-丽江三义机场
BAV,NAY,KN2908,,BAVNAY,,MU5921,KMGLJG,,,,MU5921,KMGLJG,昆明长水国际机场-丽江三义机场
BAV,NAY,KN5985,,BAVNAY,,MU5923,KMGLJG,,,,MU5923,KMGLJG,昆明长水国际机场-丽江三义机场
BAV,NKG,CZ8044,,BAVNKG,,KY8269,KMGLJG,,,,KY8269,KMGLJG,昆明长水国际机场-丽江三义机场
BAV,NKG,MU2752,,BAVNKG,,KY8231,KMGLJG,,,,KY8231,KMGLJG,昆明长水国际机场-丽江三义机场
BAV,PEK,CA1108,,BAVPEK,,KY8249,KMGLJG,,,,KY8249,KMGLJG,昆明长水国际机场-丽江三义机场
BAV,PEK,CA1122,,BAVPEK,,MF1291,KMGLJG,,,,MF1291,KMGLJG,昆明长水国际机场-丽江三义机场
BAV,PEK,CA1136,,BAVPEK,,MF1325,KMGLJG,,,,MF1325,KMGLJG,昆明长水国际机场-丽江三义机场
